Time t / s,Voltage U_A1 / V,Voltage U_B1 / V,Collector current I_A / nA,Acceleration voltage U_B / V
0.0,0.375,0.07,0.375,0.7
0.1,0.39,0.095,0.39,0.95
0.201,0.39,0.125,0.39,1.25
0.301,0.39,0.155,0.39,1.55
0.401,0.39,0.18,0.39,1.8
0.501,0.39,0.21,0.39,2.1
0.601,0.39,0.24,0.39,2.4
0.7,0.39,0.265,0.39,2.65
0.8,0.39,0.295,0.39,2.95
0.901,0.375,0.325,0.375,3.25
1.001,0.375,0.35,0.375,3.5
1.1,0.375,0.38,0.375,3.8
1.2,0.375,0.41,0.375,4.1
1.3,0.375,0.44,0.375,4.4
1.401,0.375,0.47,0.375,4.7
1.501,0.375,0.495,0.375,4.95
1.599,0.375,0.52,0.375,5.2
1.7,0.375,0.55,0.375,5.5
1.799,0.375,0.58,0.375,5.8
1.899,0.375,0.61,0.375,6.1
2.0,0.39,0.635,0.39,6.35
2.1,0.39,0.665,0.39,6.65
2.201,0.39,0.695,0.39,6.95
2.3,0.405,0.72,0.405,7.2
2.401,0.405,0.75,0.405,7.5
2.5,0.405,0.78,0.405,7.8
2.6,0.42,0.805,0.42,8.05
2.699,0.42,0.835,0.42,8.35
2.8,0.435,0.865,0.435,8.65
2.901,0.45,0.89,0.45,8.9
3.001,0.45,0.92,0.45,9.2
3.1,0.465,0.95,0.465,9.5
3.2,0.48,0.975,0.48,9.75
3.299,0.48,1.005,0.48,10.05
3.399,0.495,1.03,0.495,10.3
3.5,0.51,1.06,0.51,10.6
3.6,0.525,1.09,0.525,10.9
3.7,0.525,1.115,0.525,11.15
3.801,0.54,1.145,0.54,11.45
3.899,0.555,1.17,0.555,11.7
4.0,0.57,1.2,0.57,12.0
4.1,0.585,1.23,0.585,12.3
4.2,0.6,1.255,0.6,12.55
4.301,0.615,1.285,0.615,12.85
4.401,0.615,1.315,0.615,13.15
4.499,0.63,1.34,0.63,13.4
4.599,0.645,1.37,0.645,13.7
4.699,0.66,1.4,0.66,14.0
4.8,0.675,1.425,0.675,14.25
4.9,0.69,1.455,0.69,14.55
4.999,0.705,1.48,0.705,14.8
5.1,0.72,1.51,0.72,15.1
5.2,0.735,1.54,0.735,15.4
5.3,0.75,1.565,0.75,15.65
5.4,0.765,1.595,0.765,15.95
5.501,0.78,1.62,0.78,16.2
5.6,0.795,1.65,0.795,16.5
5.7,0.81,1.68,0.81,16.8
5.8,0.825,1.705,0.825,17.05
5.9,0.84,1.735,0.84,17.35
6.0,0.84,1.76,0.84,17.6
6.1,0.825,1.79,0.825,17.9
6.2,0.795,1.815,0.795,18.15
6.3,0.765,1.845,0.765,18.45
6.399,0.735,1.875,0.735,18.75
6.5,0.705,1.9,0.705,19.0
6.6,0.66,1.93,0.66,19.3
6.7,0.63,1.955,0.63,19.55
6.8,0.6,1.985,0.6,19.85
6.9,0.57,2.015,0.57,20.15
7.0,0.54,2.04,0.54,20.4
7.1,0.525,2.07,0.525,20.7
7.201,0.51,2.095,0.51,20.95
7.3,0.51,2.125,0.51,21.25
7.399,0.495,2.155,0.495,21.55
7.5,0.495,2.18,0.495,21.8
7.6,0.495,2.21,0.495,22.1
7.7,0.495,2.235,0.495,22.35
7.8,0.495,2.265,0.495,22.65
7.901,0.51,2.29,0.51,22.9
8.0,0.54,2.32,0.54,23.2
8.101,0.6,2.35,0.6,23.5
8.2,0.675,2.375,0.675,23.75
8.3,0.735,2.405,0.735,24.05
8.4,0.795,2.43,0.795,24.3
8.501,0.84,2.46,0.84,24.6
8.601,0.9,2.485,0.9,24.85
8.701,0.975,2.515,0.975,25.15
8.801,1.08,2.54,1.08,25.4
8.9,1.2,2.57,1.2,25.7
8.999,1.305,2.595,1.305,25.95
9.1,1.395,2.625,1.395,26.25
9.2,1.5,2.655,1.5,26.55
9.299,1.59,2.68,1.59,26.8
9.4,1.68,2.71,1.68,27.1
9.5,1.785,2.735,1.785,27.35
9.599,2.1,2.765,2.1,27.65
9.7,1.965,2.79,1.965,27.9
9.801,2.055,2.82,2.055,28.2
9.9,2.37,2.845,2.37,28.45
10.0,2.445,2.875,2.445,28.75
10.1,2.52,2.9,2.52,29.0
10.199,2.58,2.93,2.58,29.3
10.3,2.64,2.955,2.64,29.55
10.399,2.7,2.985,2.7,29.85
10.5,2.73,3.015,2.73,30.15
10.6,2.775,3.04,2.775,30.4
10.7,2.79,3.07,2.79,30.7
10.8,2.82,3.095,2.82,30.95
10.9,2.85,3.125,2.85,31.25
11.0,2.865,3.15,2.865,31.5
11.1,2.88,3.18,2.88,31.8
11.2,2.895,3.205,2.895,32.05
11.3,2.91,3.235,2.91,32.35
11.401,2.91,3.26,2.91,32.6
11.499,2.925,3.29,2.925,32.9
11.599,2.925,3.315,2.925,33.15
11.7,2.925,3.345,2.925,33.45
11.8,2.94,3.37,2.94,33.7
11.9,2.955,3.4,2.955,34.0
11.999,2.955,3.425,2.955,34.25
12.1,2.955,3.455,2.955,34.55
12.201,2.895,3.48,2.895,34.8
12.3,2.79,3.51,2.79,35.1
12.4,2.595,3.535,2.595,35.35
12.5,2.415,3.565,2.415,35.65
12.6,2.25,3.59,2.25,35.9
12.701,2.115,3.62,2.115,36.2
12.801,1.965,3.645,1.965,36.45
12.9,1.8,3.675,1.8,36.75
13.001,1.62,3.7,1.62,37.0
13.101,1.455,3.73,1.455,37.3
13.2,1.29,3.755,1.29,37.55
13.3,1.17,3.785,1.17,37.85
13.399,1.05,3.81,1.05,38.1
13.499,0.945,3.84,0.945,38.4
13.6,0.855,3.865,0.855,38.65
13.7,0.78,3.895,0.78,38.95
13.8,0.735,3.92,0.735,39.2
13.899,0.705,3.95,0.705,39.5
13.999,0.675,3.975,0.675,39.75
14.1,0.675,4.005,0.675,40.05
14.201,0.72,4.03,0.72,40.3
14.3,0.795,4.06,0.795,40.6
14.4,0.855,4.085,0.855,40.85
14.5,0.915,4.115,0.915,41.15
14.6,0.96,4.14,0.96,41.4
14.7,1.005,4.165,1.005,41.65
14.8,1.08,4.195,1.08,41.95
14.9,1.215,4.22,1.215,42.2
15.001,1.38,4.25,1.38,42.5
15.101,1.53,4.275,1.53,42.75
15.2,1.665,4.305,1.665,43.05
15.3,1.8,4.33,1.8,43.3
15.399,1.95,4.36,1.95,43.6
15.5,2.1,4.385,2.1,43.85
15.599,2.265,4.415,2.265,44.15
15.7,2.445,4.44,2.445,44.4
15.8,2.61,4.47,2.61,44.7
15.9,2.79,4.495,2.79,44.95
16.0,2.955,4.52,2.955,45.2
16.1,3.12,4.55,3.12,45.5
16.201,3.3,4.58,3.3,45.8
16.301,3.465,4.605,3.465,46.05
16.4,3.63,4.63,3.63,46.3
16.5,3.795,4.66,3.795,46.6
16.601,3.96,4.685,3.96,46.85
16.7,4.125,4.715,4.125,47.15
16.8,4.275,4.74,4.275,47.4
16.9,4.425,4.77,4.425,47.7
17.001,4.575,4.795,4.575,47.95
17.099,4.725,4.82,4.725,48.2
17.2,4.86,4.85,4.86,48.5
17.3,4.995,4.875,4.995,48.75
17.4,5.13,4.905,5.13,49.05
17.5,5.25,4.93,5.25,49.3
17.6,5.37,4.96,5.37,49.6
17.7,5.49,4.985,5.49,49.85
17.799,5.61,5.01,5.61,50.1
17.9,5.73,5.04,5.73,50.4
18.001,5.835,5.065,5.835,50.65
18.1,5.955,5.095,5.955,50.95
18.2,6.045,5.12,6.045,51.2
18.301,6.135,5.145,6.135,51.45
18.4,6.21,5.175,6.21,51.75
18.499,6.255,5.2,6.255,52.0
18.6,6.255,5.23,6.255,52.3
18.699,6.195,5.255,6.195,52.55
18.8,6.135,5.28,6.135,52.8
18.9,6.09,5.31,6.09,53.1
19.0,6.045,5.335,6.045,53.35
19.1,6.0,5.365,6.0,53.65
19.2,5.94,5.39,5.94,53.9
19.3,5.85,5.42,5.85,54.2
19.4,5.73,5.445,5.73,54.45
19.5,5.61,5.47,5.61,54.7
19.6,5.52,5.5,5.52,55.0
19.7,5.43,5.525,5.43,55.25
19.8,5.34,5.555,5.34,55.55
19.9,5.235,5.58,5.235,55.8
20.001,5.13,5.605,5.13,56.05
20.1,5.01,5.635,5.01,56.35
20.199,4.92,5.66,4.92,56.6
20.3,4.875,5.685,4.875,56.85
20.4,4.875,5.715,4.875,57.15
20.501,4.875,5.74,4.875,57.4
20.601,4.845,5.77,4.845,57.7
20.7,4.8,5.795,4.8,57.95
20.799,4.755,5.82,4.755,58.2
20.901,4.71,5.85,4.71,58.5
21.001,4.725,5.875,4.725,58.75
21.1,4.77,5.905,4.77,59.05
21.2,4.83,5.93,4.83,59.3
21.3,4.89,5.955,4.89,59.55
21.399,4.92,5.985,4.92,59.85
21.499,4.965,6.01,4.965,60.1
21.6,5.025,6.04,5.025,60.4
21.701,5.115,6.065,5.115,60.65
21.799,5.22,6.09,5.22,60.9
21.9,5.34,6.12,5.34,61.2
21.999,5.46,6.145,5.46,61.45
22.1,5.595,6.17,5.595,61.7
22.2,5.73,6.2,5.73,62.0
22.301,5.88,6.225,5.88,62.25
22.401,6.045,6.255,6.045,62.55
22.5,6.21,6.28,6.21,62.8
22.601,6.405,6.305,6.405,63.05
22.7,6.6,6.335,6.6,63.35
22.8,6.795,6.36,6.795,63.6
22.9,7.02,6.385,7.02,63.85
22.999,7.245,6.41,7.245,64.1
23.1,7.485,6.44,7.485,64.4
23.2,7.725,6.465,7.725,64.65
23.301,7.98,6.495,7.98,64.95
23.401,8.235,6.52,8.235,65.2
23.5,8.505,6.55,8.505,65.5
23.601,8.79,6.575,8.79,65.75
23.7,9.075,6.6,9.075,66.0
23.801,9.375,6.625,9.375,66.25
23.9,9.675,6.655,9.675,66.55
24.0,9.99,6.68,9.99,66.8
24.1,10.305,6.71,10.305,67.1
24.2,10.65,6.735,10.65,67.35
24.3,10.98,6.76,10.98,67.6
24.401,11.325,6.79,11.325,67.9
24.5,11.67,6.815,11.67,68.15
24.6,12.0,6.84,12.0,68.4
24.7,12.285,6.87,12.285,68.7
24.799,12.51,6.895,12.51,68.95
