Time t / s;Voltage U_A1 / V;Voltage U_B1 / V;Collector current I_A / nA;Acceleration voltage U_B / V
0;8.655;0.005;8.655;0.05
0.1;0.285;0.035;0.285;0.35
0.2;0.39;0.065;0.39;0.65
0.3;0.435;0.09;0.435;0.9
0.401;0.45;0.12;0.45;1.2
0.5;0.465;0.15;0.465;1.5
0.601;0.465;0.18;0.465;1.8
0.701;0.48;0.205;0.48;2.05
0.801;0.48;0.235;0.48;2.35
0.901;0.48;0.265;0.48;2.65
1.001;0.495;0.295;0.495;2.95
1.1;0.495;0.32;0.495;3.2
1.2;0.495;0.35;0.495;3.5
1.3;0.51;0.375;0.51;3.75
1.4;0.51;0.405;0.51;4.05
1.5;0.345;0.435;0.345;4.35
1.6;0.525;0.465;0.525;4.65
1.699;0.345;0.49;0.345;4.9
1.799;0.345;0.52;0.345;5.2
1.9;0.525;0.55;0.525;5.5
2;0.36;0.575;0.36;5.75
2.101;0.525;0.605;0.525;6.05
2.2;0.36;0.635;0.36;6.35
2.3;0.36;0.66;0.36;6.6
2.399;0.375;0.69;0.375;6.9
2.5;0.39;0.715;0.39;7.15
2.6;0.39;0.745;0.39;7.45
2.701;0.42;0.775;0.42;7.75
2.801;0.42;0.8;0.42;8
2.9;0.42;0.83;0.42;8.3
3;0.435;0.86;0.435;8.6
3.101;0.45;0.885;0.45;8.85
3.2;0.45;0.915;0.45;9.15
3.3;0.465;0.945;0.465;9.45
3.4;0.465;0.97;0.465;9.7
3.499;0.48;1;0.48;10
3.599;0.48;1.03;0.48;10.3
3.701;0.495;1.055;0.495;10.55
3.8;0.495;1.085;0.495;10.85
3.9;0.51;1.115;0.51;11.15
4;0.51;1.14;0.51;11.4
4.1;0.525;1.17;0.525;11.7
4.2;0.54;1.195;0.54;11.95
4.3;0.54;1.225;0.54;12.25
4.401;0.555;1.255;0.555;12.55
4.5;0.57;1.28;0.57;12.8
4.6;0.57;1.31;0.57;13.1
4.7;0.585;1.335;0.585;13.35
4.799;0.6;1.365;0.6;13.65
4.9;0.615;1.395;0.615;13.95
5;0.615;1.42;0.615;14.2
5.101;0.63;1.45;0.63;14.5
5.201;0.645;1.48;0.645;14.8
5.3;0.66;1.505;0.66;15.05
5.399;0.675;1.535;0.675;15.35
5.5;0.675;1.56;0.675;15.6
5.601;0.69;1.59;0.69;15.9
5.7;0.705;1.615;0.705;16.15
5.8;0.72;1.645;0.72;16.45
5.9;0.735;1.675;0.735;16.75
6;0.735;1.7;0.735;17
6.099;0.75;1.73;0.75;17.3
6.2;0.765;1.76;0.765;17.6
6.301;0.75;1.785;0.75;17.85
6.401;0.735;1.815;0.735;18.15
6.5;0.705;1.84;0.705;18.4
6.6;0.69;1.87;0.69;18.7
6.699;0.66;1.895;0.66;18.95
6.799;0.63;1.925;0.63;19.25
6.9;0.6;1.95;0.6;19.5
7;0.57;1.98;0.57;19.8
7.1;0.54;2.01;0.54;20.1
7.199;0.51;2.035;0.51;20.35
7.3;0.48;2.065;0.48;20.65
7.4;0.465;2.09;0.465;20.9
7.5;0.45;2.12;0.45;21.2
7.599;0.435;2.145;0.435;21.45
7.7;0.435;2.175;0.435;21.75
7.8;0.42;2.205;0.42;22.05
7.9;0.42;2.23;0.42;22.3
8;0.42;2.26;0.42;22.6
8.099;0.405;2.285;0.405;22.85
8.2;0.405;2.315;0.405;23.15
8.3;0.42;2.345;0.42;23.45
8.401;0.42;2.37;0.42;23.7
8.5;0.42;2.4;0.42;24
8.6;0.435;2.425;0.435;24.25
8.7;0.435;2.455;0.435;24.55
8.799;0.45;2.48;0.45;24.8
8.9;0.465;2.51;0.465;25.1
9;0.51;2.535;0.51;25.35
9.101;0.585;2.565;0.585;25.65
9.201;0.66;2.59;0.66;25.9
9.301;0.72;2.62;0.72;26.2
9.4;0.78;2.645;0.78;26.45
9.5;0.825;2.675;0.825;26.75
9.6;0.87;2.705;0.87;27.05
9.699;0.93;2.73;0.93;27.3
9.8;1.02;2.755;1.02;27.55
9.901;1.125;2.785;1.125;27.85
9.999;1.215;2.815;1.215;28.15
10.1;1.29;2.84;1.29;28.4
10.199;1.365;2.87;1.365;28.7
10.3;1.44;2.895;1.44;28.95
10.4;1.5;2.925;1.5;29.25
10.5;1.56;2.95;1.56;29.5
10.6;1.605;2.98;1.605;29.8
10.7;1.665;3.005;1.665;30.05
10.8;1.71;3.035;1.71;30.35
10.9;1.755;3.06;1.755;30.6
10.999;1.785;3.09;1.785;30.9
11.1;1.815;3.115;1.815;31.15
11.199;1.845;3.145;1.845;31.45
11.299;1.875;3.17;1.875;31.7
11.4;1.89;3.2;1.89;32
11.501;1.905;3.225;1.905;32.25
11.6;1.92;3.255;1.92;32.55
11.699;1.92;3.28;1.92;32.8
11.8;1.92;3.31;1.92;33.1
11.9;1.92;3.34;1.92;33.4
11.999;1.92;3.365;1.92;33.65
12.1;1.92;3.39;1.92;33.9
12.2;1.905;3.42;1.905;34.2
12.3;1.89;3.445;1.89;34.45
12.401;1.845;3.475;1.845;34.75
12.5;1.755;3.505;1.755;35.05
12.599;1.62;3.53;1.62;35.3
12.701;1.44;3.555;1.44;35.55
12.8;1.29;3.585;1.29;35.85
12.899;1.14;3.61;1.14;36.1
13.001;0.99;3.64;0.99;36.4
13.101;0.84;3.67;0.84;36.7
13.199;0.72;3.695;0.72;36.95
13.3;0.615;3.72;0.615;37.2
13.4;0.525;3.75;0.525;37.5
13.5;0.465;3.775;0.465;37.75
13.601;0.405;3.805;0.405;38.05
13.7;0.345;3.83;0.345;38.3
13.8;0.3;3.86;0.3;38.6
13.9;0.255;3.885;0.255;38.85
14.001;0.21;3.915;0.21;39.15
14.101;0.18;3.94;0.18;39.4
14.201;0.15;3.97;0.15;39.7
14.301;0.12;3.995;0.12;39.95
14.4;0.105;4.02;0.105;40.2
14.5;0.09;4.05;0.09;40.5
14.601;0.075;4.08;0.075;40.8
14.699;0.06;4.105;0.06;41.05
14.8;0.045;4.135;0.045;41.35
14.9;0.045;4.16;0.045;41.6
14.999;0.03;4.185;0.03;41.85
15.099;0.045;4.215;0.045;42.15
15.2;0.06;4.24;0.06;42.4
15.3;0.09;4.27;0.09;42.7
15.4;0.105;4.295;0.105;42.95
15.5;0.12;4.32;0.12;43.2
15.6;0.12;4.35;0.12;43.5
15.7;0.135;4.375;0.135;43.75
