Time t / s;Voltage U_A1 / V;Voltage U_B1 / V;Collector current I_A / nA;Acceleration voltage U_B / V
0;0,375;0;0,375;0
0,1;0,375;0;0,375;0
0,2;0,375;0;0,375;0
0,299;0,18;0,025;0,18;0,25
0,4;0,33;0,055;0,33;0,55
0,5;0,345;0,08;0,345;0,8
0,601;0,36;0,11;0,36;1,1
0,7;0,36;0,14;0,36;1,4
0,799;0,36;0,165;0,36;1,65
0,9;0,36;0,195;0,36;1,95
0,999;0,36;0,225;0,36;2,25
1,101;0,36;0,255;0,36;2,55
1,2;0,36;0,28;0,36;2,8
1,301;0,36;0,31;0,36;3,1
1,401;0,36;0,34;0,36;3,4
1,5;0,36;0,365;0,36;3,65
1,599;0,36;0,395;0,36;3,95
1,7;0,36;0,425;0,36;4,25
1,801;0,36;0,455;0,36;4,55
1,9;0,36;0,48;0,36;4,8
2;0,375;0,51;0,375;5,1
2,1;0,375;0,54;0,375;5,4
2,2;0,375;0,565;0,375;5,65
2,3;0,39;0,595;0,39;5,95
2,4;0,39;0,625;0,39;6,25
2,5;0,405;0,65;0,405;6,5
2,599;0,42;0,68;0,42;6,8
2,699;0,48;0,71;0,48;7,1
2,799;0,57;0,74;0,57;7,4
2,9;0,66;0,765;0,66;7,65
3,001;0,735;0,795;0,735;7,95
3,1;0,795;0,82;0,795;8,2
3,201;0,855;0,85;0,855;8,5
3,3;0,945;0,88;0,945;8,8
3,4;1,02;0,905;1,02;9,05
3,501;1,11;0,935;1,11;9,35
3,6;1,215;0,96;1,215;9,6
3,701;1,305;0,99;1,305;9,9
3,799;1,41;1,02;1,41;10,2
3,9;1,5;1,05;1,5;10,5
4;1,59;1,075;1,59;10,75
4,1;1,68;1,105;1,68;11,05
4,2;1,77;1,13;1,77;11,3
4,3;1,845;1,16;1,845;11,6
4,401;1,92;1,19;1,92;11,9
4,5;1,995;1,22;1,995;12,2
4,599;1,875;1,245;1,875;12,45
4,7;2,1;1,275;2,1;12,75
4,799;1,935;1,3;1,935;13
4,899;1,965;1,33;1,965;13,3
5;1,98;1,36;1,98;13,6
5,099;2,01;1,39;2,01;13,9
5,201;2,01;1,415;2,01;14,15
5,3;2,025;1,445;2,025;14,45
5,4;2,025;1,47;2,025;14,7
5,5;2,025;1,5;2,025;15
5,599;2,025;1,525;2,025;15,25
5,7;2,025;1,555;2,025;15,55
5,8;2,04;1,585;2,04;15,85
5,901;2,04;1,61;2,04;16,1
6;2,055;1,64;2,055;16,4
6,1;2,055;1,67;2,055;16,7
6,199;2,07;1,695;2,07;16,95
6,3;2,07;1,725;2,07;17,25
6,401;1,98;1,755;1,98;17,55
6,5;1,695;1,78;1,695;17,8
6,6;1,29;1,81;1,29;18,1
6,7;0,99;1,84;0,99;18,4
6,8;0,81;1,865;0,81;18,65
